,Sample,Label,Color,Marker,Size,Alpha,pH,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,TDS
242,W11_2006_9,C4,#67ACE6,o,20,0.6,6.7,76.9,64.8,78.5,0,229.0,0,113.0,127.0,727.6
243,W11_2007_4,C4,#67ACE6,o,20,0.6,7.6,190.0,26.6,90.7,0,259.0,0,122.0,128.0,885.8
244,W11_2008_9,C4,#67ACE6,o,20,0.6,7.6,104.6,78.7,101.7,0,195.0,0,79.5,108.0,711.8
245,W11_2009_4,C4,#67ACE6,o,20,0.6,7.3,219.2,37.1,114.4,0,297.0,0,158.0,147.0,1068.5
246,W11_2011_4,C3,#89C667,o,20,0.6,7.5,93.8,33.5,215.8,0,207.5,0,128.0,212.0,1228.52
247,W11_2011_9,C3,#89C667,o,20,0.6,7.9,86.8,31.0,196.2,0,356.4,0,99.1,115.0,1159.03
248,W11_2012_4,C3,#89C667,o,20,0.6,7.3,112.6,40.2,248.5,0,426.9,0,132.0,141.0,1482.0
249,W11_2012_9,C3,#89C667,o,20,0.6,7.9,99.5,35.5,250.4,0,412.5,0,127.0,134.0,1412.0
250,W11_2013_7,C2,#E9C832,o,20,0.6,8.1,119.85,51.07,137.75,0,197.45,0,144.6,215.28,1140.56
251,W11_2014_8,C4,#67ACE6,o,20,0.6,7.4,61.86,23.82,55.84,0,162.35,0,64.62,83.48,539.47
252,W11_2014_12,C3,#89C667,o,20,0.6,7.73,209.48,50.08,139.67,0,457.19,0,152.39,158.89,1483.22
253,W11_2015_4,C3,#89C667,o,20,0.6,7.7,135.17,64.68,123.58,0,280.54,0,147.57,153.02,1249.62
254,W11_2015_9,C4,#67ACE6,o,20,0.6,8.14,144.86,35.63,54.67,0,244.02,0,82.49,125.77,932.44
255,W11_2016_6,C4,#67ACE6,o,20,0.6,7.85,202.95,38.08,60.2,0,373.81,0,139.25,164.87,1169.69
256,W11_2017_7,C3,#89C667,o,20,0.6,7.74,129.8,50.47,87.67,0,340.91,0,156.64,119.57,868.0
257,W11_2017_10,C4,#67ACE6,o,20,0.6,8.07,105.16,26.23,83.91,0,294.65,0,97.02,98.93,664.0
258,W6_2002_9,C4,#67ACE6,o,20,0.6,7.5,165.13,36.95,75.48,0,332.1,0,114.39,133.33,924.12
259,W6_2003_6,C4,#67ACE6,o,20,0.6,7.9,166.03,40.28,75.6,0,159.67,0,112.99,146.96,1101.03
260,W6_2004_9,C2,#E9C832,o,20,0.6,6.9,220.0,81.5,72.6,0,76.3,0,381.0,125.0,1650.0
261,W6_2005_4,C2,#E9C832,o,20,0.6,5.9,228.0,131.0,141.0,0,130.0,0,365.0,127.0,1450.0
262,W6_2007_4,C2,#E9C832,o,20,0.6,7.3,211.0,69.2,123.0,0,125.0,0,318.0,303.0,1204.17
263,W6_2009_4,C2,#E9C832,o,20,0.6,7.4,253.9,83.9,85.0,0,173.0,0,439.0,213.0,1322.8
264,W6_2011_4,C4,#67ACE6,o,20,0.6,7.2,115.6,41.2,120.43,0,151.4,0,143.0,105.0,724.68
265,W6_2011_9,C4,#67ACE6,o,20,0.6,7.5,106.5,38.0,37.47,0,364.6,0,118.0,103.0,1284.26
266,W6_2012_4,C4,#67ACE6,o,20,0.6,7.5,119.8,42.7,199.4,0,401.7,0,127.0,125.0,1355.0
267,W6_2012_9,C3,#89C667,o,20,0.6,7.7,91.4,32.6,199.9,0,408.9,0,125.0,133.0,1457.0
268,W6_2013_7,C2,#E9C832,o,20,0.6,8.7,127.41,43.22,414.0,0,240.64,0,622.43,170.65,1787.43
269,W6_2013_10,C2,#E9C832,o,20,0.6,6.9,133.2,39.6,322.9,0,260.99,0,511.55,154.25,1563.76
270,W6_2014_8,C2,#E9C832,o,20,0.6,7.05,108.99,39.9,261.29,0,223.23,0,302.13,184.51,1310.73
271,W6_2014_12,C2,#E9C832,o,20,0.6,7.79,125.08,38.66,158.61,0,188.97,0,155.92,313.26,1087.37
272,W6_2015_4,C2,#E9C832,o,20,0.6,7.95,125.45,37.9,162.72,0,194.04,0,160.16,307.91,1114.68
273,W6_2015_9,C2,#E9C832,o,20,0.6,7.95,134.54,41.34,177.6,0,241.18,0,256.98,189.25,1177.26
274,W6_2017_7,C2,#E9C832,o,20,0.6,8.23,153.1,44.41,167.44,0,252.53,0,305.01,209.69,1124.0
275,W6_2017_10,C2,#E9C832,o,20,0.6,7.84,168.05,41.73,190.25,0,229.18,0,358.22,237.89,1256.0
276,W4_2002_9,C4,#67ACE6,o,20,0.6,7.1,158.24,34.13,67.32,0,229.58,0,154.24,111.81,865.36
277,W4_2003_6,C4,#67ACE6,o,20,0.6,8.28,121.33,37.44,60.0,0,114.69,0,117.14,121.7,835.25
278,W4_2004_9,C4,#67ACE6,o,20,0.6,6.9,159.0,42.7,60.0,0,133.0,0,161.0,125.0,1120.0
279,W4_2005_4,C4,#67ACE6,o,20,0.6,7.3,147.0,24.7,92.3,0,63.1,0,151.0,116.0,656.0
280,W4_2006_9,C4,#67ACE6,o,20,0.6,7.8,180.0,56.0,27.8,0,118.0,0,156.0,218.0,952.0
281,W4_2007_4,C3,#89C667,o,20,0.6,7.5,62.0,83.8,192.0,0,507.0,0,211.0,113.0,1186.0
282,W4_2008_9,C4,#67ACE6,o,20,0.6,7.9,157.0,47.0,119.0,0,295.0,0,55.1,176.0,884.0
283,W4_2009_4,C3,#89C667,o,20,0.6,7.5,60.7,75.2,125.0,0,362.1,0,295.0,80.7,1100.0
284,W4_2011_4,C2,#E9C832,o,20,0.6,7.5,122.0,43.5,79.41,0,264.9,0,182.0,252.0,1500.07
285,W4_2011_9,C3,#89C667,o,20,0.6,8.0,77.6,27.7,255.71,0,468.0,0,110.0,198.0,1297.1
286,W4_2012_4,C3,#89C667,o,20,0.6,7.4,80.2,28.6,258.6,0,436.5,0,104.0,177.0,1159.0
287,W4_2012_9,C3,#89C667,o,20,0.6,7.7,76.5,27.3,214.0,0,440.0,0,118.0,166.0,1257.0
288,W4_2013_7,C4,#67ACE6,o,20,0.6,8.1,152.25,53.04,71.2,0,98.73,0,126.4,194.27,1098.57
289,W4_2014_8,C4,#67ACE6,o,20,0.6,7.18,212.09,53.59,49.78,0,69.58,0,103.04,205.96,1208.61
290,W4_2014_12,C2,#E9C832,o,20,0.6,7.56,151.8,53.02,111.63,0,115.82,0,159.45,193.33,1146.41
291,W4_2015_4,C4,#67ACE6,o,20,0.6,7.35,110.17,20.49,94.04,0,306.84,0,102.58,119.89,826.74
292,W4_2015_9,C4,#67ACE6,o,20,0.6,8.04,143.06,35.63,42.03,0,65.26,0,62.66,121.23,875.02
293,W4_2017_7,C4,#67ACE6,o,20,0.6,8.28,193.04,58.54,89.53,0,252.53,0,189.62,199.42,1072.0
294,W4_2017_10,C4,#67ACE6,o,20,0.6,8.21,215.22,48.28,84.99,0,217.48,0,179.11,176.65,1228.0
295,W1_2002_9,C4,#67ACE6,o,20,0.6,7.5,142.68,40.84,60.61,0,136.28,0,111.79,93.37,893.43
296,W1_2003_6,C4,#67ACE6,o,20,0.6,8.0,142.62,49.05,67.3,0,79.83,0,121.29,107.01,1017.67
297,W1_2013_7,C4,#67ACE6,o,20,0.6,8.5,89.62,35.36,64.3,0,107.98,0,97.67,105.01,725.07
298,W1_2013_10,C4,#67ACE6,o,20,0.6,7.58,76.35,27.18,54.51,0,121.17,0,81.41,87.09,635.75
299,W1_2014_12,C2,#E9C832,o,20,0.6,7.65,188.23,61.12,128.68,0,112.77,0,138.28,366.12,1337.78
300,W1_2015_4,C2,#E9C832,o,20,0.6,8.02,182.38,55.3,147.21,0,131.5,0,143.97,400.24,1430.36
301,W1_2015_9,C2,#E9C832,o,20,0.6,8.0,196.88,54.94,95.44,0,116.33,0,138.01,305.41,1331.0
302,W1_2016_6,C2,#E9C832,o,20,0.6,7.4,194.84,55.96,97.68,0,161.98,0,136.02,349.73,1330.42
303,W1_2017_7,C4,#67ACE6,o,20,0.6,8.31,126.47,52.49,74.36,0,195.71,0,131.91,143.58,824.0
304,W1_2017_10,C4,#67ACE6,o,20,0.6,8.19,131.69,46.49,78.71,0,160.19,0,141.8,160.17,896.0
305,W5_2001_6,C4,#67ACE6,o,20,0.6,7.2,112.14,36.4,101.5,0,165.15,0,231.62,109.08,859.25
306,W5_2002_9,C4,#67ACE6,o,20,0.6,7.0,109.18,33.94,75.68,0,298.34,0,102.4,125.65,714.62
307,W5_2003_6,C4,#67ACE6,o,20,0.6,8.2,62.8,23.24,52.0,0,156.94,0,72.57,73.48,525.04
308,W5_2004_9,C4,#67ACE6,o,20,0.6,6.5,109.0,46.1,22.5,0,111.0,0,106.0,95.5,826.0
309,W5_2005_4,C4,#67ACE6,o,20,0.6,6.6,152.0,43.8,10.7,0,141.0,0,117.0,230.0,1280.0
310,W5_2006_9,C2,#E9C832,o,20,0.6,7.3,147.0,37.9,113.0,0,84.5,0,113.0,322.0,869.6
311,W5_2007_4,C2,#E9C832,o,20,0.6,7.3,131.0,46.6,77.9,0,97.2,0,105.0,248.0,758.71
312,W5_2008_9,C4,#67ACE6,o,20,0.6,7.8,202.0,47.0,207.0,0,190.5,0,121.0,108.0,928.0
313,W5_2009_4,C2,#E9C832,o,20,0.6,7.3,117.6,58.9,81.8,0,103.0,0,105.0,263.0,786.7
314,W5_2011_4,C4,#67ACE6,o,20,0.6,7.2,95.3,34.0,137.62,0,222.2,0,108.0,256.0,948.74
315,W5_2011_9,C3,#89C667,o,20,0.6,7.6,100.8,36.0,215.0,0,416.1,0,82.0,182.0,1308.67
316,W5_2012_4,C3,#89C667,o,20,0.6,7.0,107.3,38.3,230.6,0,438.8,0,116.0,167.0,1385.0
317,W5_2012_9,C3,#89C667,o,20,0.6,7.7,96.0,34.3,158.0,0,348.2,0,61.3,146.0,1095.0
318,W5_2013_7,C2,#E9C832,o,20,0.6,8.1,154.4,60.24,157.25,0,197.45,0,196.31,231.03,1336.16
319,W5_2013_10,C2,#E9C832,o,20,0.6,7.18,148.5,63.49,174.32,0,251.67,0,204.21,233.0,1380.53
320,W5_2014_8,C2,#E9C832,o,20,0.6,7.09,136.49,63.12,153.18,0,202.93,0,199.09,226.72,1267.54
321,W5_2014_12,C2,#E9C832,o,20,0.6,7.43,202.19,65.18,129.99,0,231.64,0,217.65,246.68,1512.45
322,W5_2015_4,C2,#E9C832,o,20,0.6,7.84,195.34,69.06,126.84,0,198.71,0,214.15,284.82,1494.75
323,W5_2015_9,C3,#89C667,o,20,0.6,8.28,143.06,33.72,129.09,0,394.4,0,136.03,124.37,1140.45
324,W5_2016_6,C4,#67ACE6,o,20,0.6,8.35,104.36,31.72,128.18,0,267.9,0,134.39,123.08,965.73
325,W5_2017_7,C4,#67ACE6,o,20,0.6,8.07,226.32,68.64,88.85,0,113.64,0,197.86,295.14,1424.0
326,W5_2017_10,C2,#E9C832,o,20,0.6,7.5,167.98,62.1,125.78,0,165.26,0,155.54,307.32,1196.0
